Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Arsenal,27,21,3,3,62,25,+37,66,2.44,52.2,26.3,+26.0,+0.96,W W W W W,60196,Martinelli - 12,Aaron Ramsdale,
2,Manchester City,27,19,4,4,67,25,+42,61,2.26,56.1,21.5,+34.6,+1.28,W D W W W,53219,Erling Haaland - 28,Ederson,
3,Manchester Utd,26,15,5,6,41,35,+6,50,1.92,40.8,32.6,+8.2,+0.31,D W W L D,73749,Marcus Rashford - 14,David de Gea,
4,Tottenham,27,15,3,9,49,37,+12,48,1.78,38.7,31.4,+7.3,+0.27,L W W L W,61654,Harry Kane - 20,Hugo Lloris,
5,Newcastle Utd,25,11,11,3,37,18,+19,44,1.76,39.3,24.5,+14.8,+0.59,D D L L W,52241,Miguel Almirón - 11,Nick Pope,
6,Liverpool,26,12,6,8,47,29,+18,42,1.62,47.5,34.7,+12.7,+0.49,W D W W L,53197,Mohamed Salah - 11,Alisson,
7,Brighton,25,12,6,7,46,31,+15,42,1.68,42.8,28.9,+13.9,+0.56,D L W D W,31457,Solly March Leandro Trossard... - 7,Robert Sánchez,
8,Brentford,26,10,11,5,42,33,+9,41,1.58,38.5,31.9,+6.6,+0.25,D D W L W,17076,Ivan Toney - 16,David Raya,
9,Fulham,27,11,6,10,38,37,+1,39,1.44,33.7,44.9,-11.3,-0.42,W W D L L,23502,Aleksandar Mitrović - 11,Bernd Leno,
10,Chelsea,26,10,7,9,27,26,+1,37,1.42,31.3,33.1,-1.8,-0.07,D L L W W,39969,Kai Havertz - 6,Kepa Arrizabalaga,
11,Aston Villa,26,10,5,11,32,39,-7,35,1.35,31.7,39.5,-7.8,-0.30,L L W W D,41681,Ollie Watkins - 9,Emiliano Martínez,
12,Crystal Palace,27,6,9,12,21,34,-13,27,1.00,24.0,37.8,-13.8,-0.51,D D L L L,24882,Wilfried Zaha - 6,Vicente Guaita,
13,Wolves,27,7,6,14,20,37,-17,27,1.00,26.2,38.9,-12.7,-0.47,L D L W L,31584,Rúben Neves Daniel Podence - 5,José Sá,
14,Nott'ham Forest,26,6,8,12,21,47,-26,26,1.00,27.8,41.6,-13.8,-0.53,L D L D L,29148,Brennan Johnson - 7,Dean Henderson,
15,Everton,27,6,7,14,20,38,-18,25,0.93,29.4,44.6,-15.2,-0.56,W L L D W,39233,Demarai Gray - 4,Jordan Pickford,
16,Leicester City,26,7,3,16,37,46,-9,24,0.92,32.9,43.1,-10.1,-0.39,W L L L L,31772,James Maddison - 9,Danny Ward,
17,West Ham,26,6,6,14,24,34,-10,24,0.92,33.5,31.4,+2.1,+0.08,D L W L D,62454,Jarrod Bowen Saïd Benrahma - 4,Łukasz Fabiański,
18,Bournemouth,26,6,6,14,25,51,-26,24,0.92,22.1,44.1,-22.0,-0.85,D W L L W,10371,Philip Billing - 6,Neto,
19,Leeds United,26,5,8,13,31,42,-11,23,0.88,32.4,39.2,-6.8,-0.26,L L W L D,36496,Rodrigo - 10,Illan Meslier,
20,Southampton,27,6,4,17,20,43,-23,22,0.81,25.4,36.2,-10.8,-0.40,W L W D L,28152,James Ward-Prowse - 6,Gavin Bazunu,